category,cnt
전자기기>앰프,1
유아동>침구>역류방지쿠션,1
게임기 악세서리,1
아크를물감,1
1회용 스틱형 가글액,1
옷가지,1
생활/건강>공구>소형기계>기타소형기계,1
냉장/냉동식품,1
육가공 식품(소시지),1
생활/건강>자동차용품>오일관리>연료첨가제,1
탁상달력,1
디지털/ 가전> 생활가전> 구강청정기> 구강세정기,1
"생활용품, 잡화",1
생활용품외,1
건강기능식품 (영양제),1
"생활, 건강",1
화장품>스킨케어>토너,1
"옷, 신발, 기타 잡화",1
골프채,1
"식품상온,저온",1
가구>인테리어>침실가구>거울,1
일회용컵/빨대,1
디지털/가전이미용가전피부케어기기,1
위생용품_생리대,1
디지털/가전 > 휴대폰 액세서리,1
생활>구강용품>구강청결제,1
이삿짐,1
샤인머스켓,1
식품>차류>콤부차,1
중고휴대폰 다이어리,1
디지털/가전>주방가전>믹서기,1
가구/인테리어>수납가구>선반,1
식품>과자/베이커리>한과,1
관악기 소품,1
잡화>마스크,1
반려동물>강아지>배변봉투,1
"신선육, 가공식품",1
잡화 인테리어,1
화장품/미용>색조>립스틱,1
반려동물 용품>신발,1
유아용품>위생커버,1
"귀금속,기념품",1
등산화,1
패션잡화>선글라스/안경테>선글라스,1
"의복,생활용품",1
서적>독립출판 소형책자,1
간장게장,1
여권,1
"책,책갈피,스티커,엽서",1
패션/잡화>,1
논알콜/무알콜 주류,1
출산/육아>안전용품>모기밴드/퇴치용품,1
식품>냉동/간편조리식품,1
신발> 슬리퍼,1
식품>다이어트식품>헬스보충제,1
유선이어폰,1
스포츠/레저>캠핑>기타캠핑용품,1
휴대용 소독젤 실리콘 케이스(홀더),1
애견용 가방,1
패션잡화>신발용품>기타,1
"개인물품, 의류, 이불",1
가구>철제테이블다리,1
식품>꿀,1
일반 식품,1
식품>버섯,1
야구배트,1
의류/패션잡화,1
스마트폰,1
"구강(치약, 가글)",1
세제>고체형세제(병),1
생활용품>생활잡화>기타생활용품,1
순대,1
반려동물 > 식품,1
차량의자,1
"문구류, 반려동물 용품(고양이 스테인리스 화장실, 매트 등)",1
샐활/건강,1
가전/디지털,1
디지털/가전>생활가전,1
3D프린터 소모품,1
교육용품>모의재판 키트,1
화장품/미용>바디,1
문구류>노트,1
욕실용품>샤워기,1
홈인테리어  >가구  >드레스룸  >리빙박스  >패브릭리빙박스,1
화장품/미용>선케어,1
디지털가전>학습기기>학습보조기,1
식품>건강식품>분말효소,1
식품 -> 가공식품 -> 컵라면,1
음료>커피>아메리카노,1
건설 배관자재 조인트 (연결자재),1
기타건강기능식품,1
화장품/미용>클렌징>비누,1
이벤트 경품,1
화장품 > 스킨케어 > 크림,1
식품>냉동가공식품,1
생활/건강>욕실용품>샤워기/수전용품>샤워기,1
악세서리/문구류,1
"식품>차류,커피",1
반려동물사료,1
"컨베이어, 자바라",1
화장품 미스트,1
바디위시.고체비누,1
소스류>간장,1
여성잡화>가방>크로스백,1
양초,1
"IT디바이스, 노트북 주변기기",1
패션/의류>잠옷,1
"유아>인형,옷 용품",1
의류 > 신발,1
생활/,1
-,1
드릴,1
디지털/가전>카메라/캠코더용품>필름/관련용품>35mm필름,1
mp3플레이어,1
사진,1
가공식품>죽>전복죽,1
화장품/미용>스킨케어>세럼 및 기타 부자재,1
축산 육고기,1
고양이옷,1
가구인테리어>홈테코>바디필로우,1
남성 정장/의류,1
램프,1
디지털>카메라용품>카메라케이스,1
안녕,1
화장품세트박스,1
청소용품,1
식품>가공식품>그래놀라,1
냉동쌀가루,1
잡화 주얼리,1
곤충포획틀,1
"생활용품, 주방용품",1
기저귀 비누 등,1
애완사료,1
냉동간편식,1
생활/건강>원예/식물,1
생활/식품/건강>식품>과자,1
전구,1
"애견용품>의류,이동가방,장난감",1
VR기기,1
가구/인테리어>건축자재,1
생활용품>애완용품>장난감,1
생활건강 > 수납관리용품,1
ㄹㅅ,1
생활용품>다회용 마스크,1
반려동물가방,1
생활/건강>실버용품>목욕보조용품,1
화장품 유스트,1
식품>수산가공품,1
액세서리 잡화,1
스포츠용품>자전거용품>자전거캐리어,1
의류/식품,1
디지털/가전>카메라>UV카메라,1
생활/건강>손소독제,1
취미/레저>장난감/키덜트>양모인형,1
"악세서리>목걸이,팔찌 등",1
"가정/생활>생활용품, 스포츠/레져>캠핑",1
팬클럽 상품,1
식품>냉동만두,1
여성의류 > 바지,1
입장팔찌,1
생활/건강>자동차용품>오일관리>엔진오일,1
교육기자재,1
패션>의류 및 신발,1
헤어드라이기거치대,1
과실류,1
생활>생활잡화,1
화장품/식품/생활용품,1
식품>아이스크림,1
스포츠/레져>헬스/요가>헬스기구/용품>AB휠/슬라이더,1
육아>해열용품>미온수마사지패드,1
화장품>수분크림,1
뜨개 용품 패키지,1
게임용품>키보드,1
뽀로로 마스크,1
의류 / 티셔츠,1
양고기 밀키트,1
식품>간편식>시리얼,1
의류> 남성의류,1
생활용품 담요 주얼리,1
의류/잡화>소품>악세사리,1
생활용품-찜질팩,1
천일염,1
라이프스타일>취미키트,1
공구,1
테이프,1
식품 건강식품 화장품 전자기기,1
식품>기타다이어트식품,1
"쌀,부속품",1
디지털 가전 악세사리,1
화장품/미용>헤어,1
페이스소품,1
요소수,1
삼각대,1
농산물>꿀>허니스틱선물세트,1
세차용품,1
식품>가공식품>베이커리,1
생활/건강 > 반려동물 > 리빙용품 > 하우스,1
목걸이,1
패션잡화/문구,1
등신대,1
식품>캔디류,1
농축수산물,1
"잡화(일회용컵/뚜껑), 커피재료",1
쇼핑>종합몰>소호몰,1
MIDI Program,1
패션/잡화>지갑,1
생활잡화>쿠션/방석,1
디지털/가전>휴대폰액세서리/웨어러블 디바이스 액세서리/,1
골프스타킹,1
"화장품,건강기능식품",1
